jobName,city,company,salary,workMode,degree,experience,jobCategory,companyName,companyField,companyDevelopmentStage,companySize,companyURL,jobAdvantage,jobDescription
高级java开发工程师/专家/...,成都,蚂蚁金服集团支付宝事业群招聘,20k-40k,全职,本科及以上,经验不限,高级;Java;架构师;大数据;分布式;数据分析;,支付宝(杭州)信息技术有限公司,"金融,移动互联网",B轮,2000人以上,https://www.antfin.com/,"牛人,高薪,机会,挑战","开放与平台资深JAVA开发工程师/专家(平台研发方向,p6/p7/p8)&&【岗位描述】&&开放与平台技术部致力于打造蚂蚁级的开放、产品、商户等通用业务平台，实现全局业务能力与商家资源的开放共享，对内助力于商家、用户、机构等服务体系构建，对外以小程序、生活号等为抓手激活支付+X的金融生活开放生态。&&1. 参与蚂蚁的产品平台、商户平台、开放平台的建设，每个平台支撑着支付宝、网商银行、蚂蚁财富、蚂蚁保险、蚂蚁开放平台等各个板块业务，需要具备领域建模能力，能看透业务本质化繁为简；&&2.大量的系统都处于关键链路，直接参与核心代码设计与开发，需要具备良好的非功能性设计意识，喜欢高并发、高性能、高可用等场景挑战；&&3.需要耐得住寂寞，这里不一定能获取立竿见影的业务战果，但肯定有诸多考验业务洞察力、技术专精度等能力历练；&&【岗位要求】&&1. JAVA基础扎实：精通多线程编程，熟悉分布式,缓存,消息队列等机制；熟悉JVM，包括内存模型、类加载机制以及性能优化；&&2. 对各种开源的框架如Spring、Hibernate等有深入的了解，精通关系型数据库设计及SQL,精通unix/linux操作系统；&&3. 具备良好的识别业务关键需求和设计领域模型的能力；&&4. 热爱技术，工作认真、严谨，对系统质量有近乎苛刻的要求意识，善于沟通与团队协作；&&5. 有大型分布式、高并发、高负载、高可用性系统设计和稳定性经验优先；&&营销技术专家（P7/P8）&&【岗位描述】&&1.独立完成较复杂的系统分析、设计，并主导完成详细设计和编码的任务，确保项目的进度和&&质量;&&2.负责系统的规划设计，持续完善和优化，制定产品的技术发展路线；&&3.审核开发人员的系统设计和代码质量，书写技术文档和制定开发规范，辅导团队成员的技术&&能力提升。&&4.面向蚂蚁金服的数亿用户建设具有大规模，高吞吐量同时具有高稳定度的系统，面向蚂蚁金&&服及千万级商家提供通用、灵活、智能的业务支撑能力平台;&&【岗位要求】&&1.具有较大型互联网公司营销系统/推荐系统/广告系统经验的同学；&&2.较为深刻的理解营销业务本身，具有很强的业务到技术的转换及领域设计能力；&&3.较为深刻的理解数据和算法在营销业务中的场景及应用；&&4.JAVA基础扎实，数据库，高并发，稳定性有充分的经验；&&5.热爱技术，工作认真、严谨，对系统质量有近乎苛刻的要求意识，善于沟通与团队协作，主动性强；&&资深数据应用工程师(算法方向，P6/P7)&&【岗位描述】&&1. 通过机器学习等技术进行数据分析及建模的方案的系统化设计，负责数据挖掘项目的架构设&&计工作;&&2. 分析用户行为，对用户进行建模，设计合理的模型和算法;&&3. 设计营销算法，ab实验，以数据为驱动的实验调优;&&4. 对现有系统的架构进行深入分析及优化，进一步提升系统数据和算法能力，构建智能营销平台;&&【岗位要求】&&1. 计算机、数学、统计学、运筹学、机器学习等相关专业，具有扎实的统计和数据挖掘、建模&&基础；&&2. 熟练编程，具有丰富的独立实现算法和调优的经验，熟悉python等脚本语言优先；&&3. 具备较丰富的基于Hadoop ／ mapreduce ／ Spark等大数据处理项目经验优先；&&4. 熟悉常用算法，熟悉至少一种常用算法框架（Caffe, sklearn, tensorflow）；&&5. 对数据敏感，具有良好的逻辑思维能力、理解业务的能力、沟通能力和表达呈现能力，主动性强；&&6. 在某一算法领域比如推荐、图像、NLP等具备很强的专业技能者优先；&&资深JAVA工程师（数据应用方向，P6/P7）&&【岗位描述】&&1. 结合离线和实时计算大数据平台能力，构建支付宝支付运营支撑平台；&&2. 围绕支付业务过程，埋点收集支付过程曝光、行为、结果数据，并从用户、商户、订单等维度对数据进行建模；&&3. 使用Growth Hacking、A/B Testing等Data Technology实现通过数据驱动产品优化，降低用户支付障碍，提升支付成功率和用户支付体验等重要业务指标；&&【岗位要求】&&1. 扎实的Java编程基础，熟悉Linux下高并发，多线程原理，三年以上分布式系统开发工作经验；&&2. 对常见分布式开源项目（RPC，MQ，Spark等）原理有深入理解，深入源码研究，有造轮子或重构经验者更佳；&&3. 具备良好业务理解和沟通能力，工作认真、严谨、敬业，对系统质量有近乎苛刻的要求意识；&&4. 具有良好的数据敏感度，有数据分析，数据相关工作经验优先；&&5. 愿景驱动，愿投身推动无现金社会事业挖掘自身潜力；&&"
JAVA,上海,曙奇互娱研发部招聘,13k-25k,全职,本科及以上,经验3-5年,架构师;web;软件开发;Java;,曙奇互娱（上海）信息科技有限公司,"文化娱乐,金融",A轮,50-150人,http://www.shuqihuyu.com,"五险一金,年底双薪,定期旅游,定期体检",职责描述：&&1.负责服务器端业务逻辑和API开发；&&2.参与系统需求分析与设计，完成接口规范制定；&&3.与移动端开发人员沟通，满足移动端对服务器API的需求；&&4.对所负责的模块有维护责任，及时解决出现的问题，并能解答、解决网站运营人员提出的问题；&&5.完成服务器端与移动端功能联调和集成测试。&&职位要求：&&1.具有两年以上软件开发工作经验；&&2.精通Java开发语言；&&3.精通Struts2/Struts、Ibatis、Spring等开源框架；&&4.精通jsp、servlet、JMS、jdbc、JMX开发，熟悉J2EE规范，熟悉各种常用设计模式；&&5.熟悉Tomcat、Nginx等应用服务器；&&6.熟悉数据库开发（oracle、mysql）；&&7.喜欢钻研技术、有独立探索技术的能力，具有良好的软件工程知识和质量意识。&&
Java开发,上海,泛微招聘,12k-16k,全职,本科及以上,经验1-3年,Java;,上海泛微网络科技股份有限公司,"移动互联网,企业服务",上市公司,2000人以上,http://www.weaver.com.cn,一年两次加薪 福利待遇好 境外游 领导Nice,职位描述&&岗位描述：&&1、后台部分的开发与设计&&2、后台数据库的设计及维护&&岗位要求：&&1、2年以上开发经验&&2、熟悉基于Struts和Ibatis或者Hibernate的J2EE应用平台架构，熟练使用Spring等框架&&3、熟悉Oracle、MySql等数据库&&4、有银行、基金、证券、保险等金融业软件开发维护经验优先，有服务器和数据库优化经验者优先。&&5、有强烈的责任心，优秀的表达能力及沟通能力；&&6、熟悉软件技术文档的编写，具备良好的文档编制习惯和规范的代码书写&&7、有较强的学习和理解能力，思路清晰，善于思考，能独立分析和解决问题；&&【你关心的，我们懂】&&网传程序猿是高危行业，来泛微，不必担心！程序猿要高薪，更要健康！！&&薪资待遇――让你愉快的买买买，有钱，就是这么任性！&&精美三餐――拒绝千篇一律的快餐盒饭，拒绝新鲜打折的自带便当，拒绝街边小店的卫生堪忧，一日三餐营养均衡，我们比千里之外的双亲更能关怀到你的健康。&&每年至少一次国内外畅游――除了风情新马泰，时尚欧美灵魂尼泊尔浪漫马代都在我们的Plan A中。&&员工关怀活动――他们都在意你飞得高不高，而我们在乎的，是你飞得累不累。&&梦想――人要是没有梦想，那和咸鱼有什么分别！携手同样有梦想的你走这一程，让我们离梦想更近一步。&&价值――拥有你，就像拥有一座潜力无限的金矿，你的过往价值我们如获至宝，你的未来价值我们拭目以待。&&专业――十三年孜孜不倦，十三年持续专注，行业内知名专家团队，头脑风暴活学活用。&&千里马常有，伯乐不常有。我们有颗做伯乐的心，欢迎更多的千里马来加入！&&如果你年轻肯努力，敢想敢拼，希望不断进步；&&如果你想享受积极的工作氛围，激情的团队合作和多多的公司福利；&&如果你了解泛微，了解OA，有管理软件项目相关工作经验；&&请随时联系我们，泛微永远欢迎你！&&薪酬福利：&&1、提供有竞争力的薪资，执行相对公平合理的绩效政策和薪酬结构；&&2、其他福利：美味三餐、各种补贴、生日和节日福利、年休、优秀员工出国旅游等；&&3、作息时间：每天八小时工作制（9:00-18:00，午休1小时），双休+国家法定节假日。&&我们的诚意：&&-免费提供一日三餐，独立员工食堂，专业大厨亲自掌勺，保证膳食均衡；&&-转正既有年假，每年两次加薪机会，年终Bonus，那是必须的！&&-每月绩效奖金+研发奖金，用工资条上的数字体现你的技术和实力；&&-和你的付出相符的薪水；&&-每年一次国内旅游，优秀员工国外旅游，去年塞班岛，今年巴厘岛；&&-每年一次全面体检，关爱你的健康；&&-员工活动室（乒乓球、桌球），篮球场、浦东羽毛球馆常年场地，均免费；&&-安全舒适人体工学椅，时刻保护你的肩颈和腰椎；&&-每月至少一次团建，餐后水果，零食茶点免费供应；&&
Java开发工程师,上海,链家上海研发中心招聘,15k-23k,全职,本科及以上,经验3-5年,Java;,德佑房地产经纪有限公司,企业服务,B轮,华兴资本(华晟)，百度、腾讯、中信产业基金(B轮)，万科(D轮及以上),http://sh.lianjia.com/,今年融资 万亿级O2O平台 薪资给力,岗位职责：1.系统软件的系统设计与开发；2.公司网站的系统设计与开发；3.一些自动化工具软件的开发；4.参与一些基础技术框架的讨论。任职要求：1.本科以上学历，计算机专业背景；2.如果是应届生，希望专业基础要扎实(数据结构、操作系统的基本原理与概念)；3.熟悉Java，熟悉常用的开源框架，例如Spring MVC/Spring/myBatis；4.有一定的数据库基础，熟悉SQL Server，能设计数据库；5.热爱折腾/勇于折腾/善于折腾，敢想敢干；6.有独立分析问题和解决问题的能力；7.具备强烈的工作责任心和主动性；8.有较强的学习动力和自我提升欲望。&&
JAVA开发工程师,南京,苏宁云商招聘,10k-20k,全职,学历不限,经验3-5年,Java;web;电商;JavaScript;,南京苏宁软件技术有限公司,"O2O,移动互联网",上市公司,2000人以上,http://www.suning.com,技术沉淀,职位描述：&&一、岗位职责：&&1.主要从事电商移动平台、后台软件的功能设计、开发和实现；&&2.根据产品功能模块设计，编码实现各模块功能，并确保开发质量与进度；&&3.负责软件的设计、编程、调试和模块测试工作。&&二、任职要求：&&1.3年及以上J2EE方向开发经验；&&2.精通spring等开源框架 ；&&3.熟悉html、javascript、css、jsp/freemarker、jquery的使用 ；&&4.熟悉使用mysql/db2/oracle中的一种 ；&&5.有互联网相关项目、移动服务端相关项目开发经验优先 。&&
java工程师,杭州,微贷网研发中心招聘,10k-20k,全职,本科及以上,经验1-3年,高级;中级;Java;MySQL;j2ee;,微贷（杭州）金融信息服务有限公司,金融,C轮,"嘉御基金(C轮)，汉鼎股份(A轮,B轮)，盛大投资(A轮)",http://www.weidai.com.cn,"全额公积金,法定年休假,周三下午茶,加班可打的","1.3年及以上Java软件开发经验，具有扎实的Java基础。&&2.精通主流开源应用框架，如Spring、Struts、ibatis、XML、JSON等开发技术。&&3.熟练Linux,Nginx, Tomcat,Jvm的配置与操作。&&4.熟悉SVN、Maven等开发管理工具。&&5.熟悉分布式、缓存、消息、搜索等机制。&&6.熟悉Oracle、SQLServer、MySQL数据库开发。&&7.具有面向对象系统分析和设计经验、拥有良好的软件质量意识，熟悉重构及各种软件开发方法。&&8.良好的学习能力、团队协作能力和沟通能力；善于思考，能独立分析和解决问题。&&9.有CSS开发经验优先考虑。&&"
Java开发工程师,北京,京东商城京东商城商城研发部招聘,18k-36k,全职,本科及以上,经验3-5年,Java;MySQL;架构;电商;,北京京东世纪贸易有限公司,电子商务,上市公司,2000人以上,http://www.jd.com,"免费班车,牛人比肩,餐补,大平台","岗位职责： 1.参与公司电商相关项目的开发和基础平台建设工作。 2.能快速理解、消化各方需求，并落实为具体的开发工作。 3.具备良好的架构分析能力与设计能力，积极参与前期设计。 4.具备良好的需求分析能力，业务建模能力和数据库设计能力，参与系统详细设计。 5.相关技术架构文档撰写及进行技术分享培训。&&任职资格：&&1.本科学历，3年以上J2EE编程经验，侧重大数据处理和高并发系统开发，使用java开发过大型系统经验者优先，有过带队经验者优先。 2.精通java语言，熟悉java高并发应用开发，熟悉Spring、Hibernate、Struts2等开发框架。 3.思路清晰，逻辑性强，较强的分析设计能力和方案整合能力。 4.拥有良好的代码习惯，熟悉代码版本管理工具Svn/Git。 5.丰富的面向对象设计及编程能力，熟悉OOP开发模式。 6.熟悉TCP/IP网络协议,熟悉Linux操作系统。 7.掌握sql知识，熟悉sql优化过程，至少掌握关系型数据库MYSQL，至少了解一种非关系型数据库 （如Redis）及其适合的应用场景。 8.对开源技术有浓厚的兴趣，至少掌握Hadoop、Storm、Hive、Kafka、RabbitMQ、Zookeeper中的一种。&&"
Java开发工程师,上海,有鱼金融科技招聘,15k-25k,全职,本科及以上,经验3-5年,高并发;爬虫;分布式;J2EE;接口;,上海彩亿信息技术有限公司,"移动互联网,金融",B轮,华兴、同创、上海文化产业基金、如山资本(A轮),http://www.youyuwo.com/,准上市公司 扁平化管理 内部晋升,职位描述：&&1. 负责金融交易系统的开发及维护工作，定期完成量化的工作要求；&&2. 负责功能模块的项目需求分析、设计、开发，配合测试人员对产品需求进行测试；&&3. 主动发现问题，提出合理化建议，积极优化项目开发手段；&&4. 能独立处理和解决所负责的任务，及时解决生产上的系统问题；&&岗位要求：&&1、3年以上工作经验；&&2、具有良好的团队合作能力，沟通能力强，较强的责任心和抗压能力；&&3、Java基础扎实，熟练使用SpringMVC+mybatis/ibatis、SSH等主流JAVA框架，理解常用的设计模式；&&4、熟练使用Junit(或者其他)进行测试用例的编写；&&5、熟练掌握并使用mysql、oracle等数据库，并具有一定的SQL功底；&&6、熟练使用Linux系统常用命令；&&7、有实时高并发系统研发者优先；&&8、有互联网金融行业、金融交易系统研发经验者优先；&&
Java开发工程师,北京,中金支付有限公司开发部招聘,10k-20k,全职,本科及以上,经验1-3年,支付;Java;电商;,中金支付有限公司,移动互联网,不需要融资,中国金融认证中心(天使轮),http://www.china-clearing...,绩效奖金 带薪年假 免费体检 补充医疗,岗位职责：&&1、负责本公司互联网金融产品的需求分析与产品规划；&&2、负责本公司交易收单、核心清算、运营支撑、账务会计等系统的优化与升级；&&3、负责本公司的软件产品设计、开发和项目管理；&&4、负责与客户和银行沟通、协调。&&任职要求：&&1、重点大学本科及以上学历，计算机、信息系统、电子商务等相关专业；&&2、两年以上商业软件开发和管理经验；&&3、精通Java语言，精通Spring等开源框架，有系统架构工作经验；&&4、熟悉Oracle数据库服务器，熟悉Unix/Linux操作系统；&&5、良好的沟通能力和团队合作精神；&&6、具有金融行业、支付行业从业经历者优先。&&7、加分项：zookeeper、redis、kafka等。&&
JAVA工程师,大连,桔子分期技术部招聘,8k-10k,全职,本科及以上,经验3-5年,支付;Java;,北京桔子分期电子商务有限公司,"电子商务,金融",A轮,150-500人,http://www.juzifenqi.com,"五险一金,发展空间,扁平管理,弹性工作",岗位职责：&&1、根据业务需求与前端组协作开发并实现各产品功能；&&2、参与后端研发中涉及到的技术框架选型及相关实现；&&3、与数据组协作完成核心接口的定义、使用、测试并保证业务代码的运行效率；&&4、与测试组及运维组协作实现产品上线，并监控产品服务，及时处理线上异常。&&任职要求：&&1、本科以上学历。JAVA基础扎实，熟悉IO、多线程、集合等基础框架，熟悉分布式、缓存、消息、搜索等机制；&&2、3-5年以上J2EE开发经验，有大型分布式企业级应用的设计和开发经验，熟悉web集群、redis缓存、数据库集群技术；&&3、熟悉MySQL、Oracle数据库；熟悉SpringMVC、MyBatis等主流开源框架和技术；Apache、Nginx、Tomcat、WebLogic等主流应用服务器；&&4、熟悉大流量、高并发、高负载、高可用性的分布式系统的设计开发；&&5、熟悉第三方支付、微信开发；有电商项目开发经验优先；&&6、有良好的代码习惯和开发规范；&&7、具备良好的团队合作以及乐于分享的精神，关注新技术、能从技术趋势和思路上能影响技术团队。&&8、熟悉大数据相关技术知识，如Hadoop、MongoDB、HBase、Spark、Storm等优先。&&
Java开发工程师,杭州,腾展叮咚（Dingtone）开发部招聘,15k-30k,全职,本科及以上,经验1-3年,平台/后台;J2EE;redis;Java;,杭州腾展科技股份有限公司,"移动互联网,社交网络",上市公司,50-150人,http://www.dingtone.me,"全球化产品,海量用户,上市公司,股权激励","岗位职责：1、独立完成项目的系统分析，设计，并主导完成详细设计和编码的任务，确保项目的进度和质量；2、负责移动后端API设计,开发及维护；3、从构思到执行，能够编写架构性好的后端代码。任职要求：1、本科以上学历，2年以上J2EE开发经验，有互联网或移动应用产品开发经验，尤其是大规模并发系统架构经验优先；2、Java基础扎实，熟悉io、多线程、集合等基础框架；熟练掌握Java各种开源框架Spring, iBatis等；3、熟练掌握Mysql数据库，有SQL优化经验；4、有Redis，Memcached缓存和NoSQL数据库开发使用经验；5、具有设计和开发对外API接口经验能力，同时能具备跨平台的API规范设计以及API高效调用设计能力者优先考虑；6、熟悉linux系统中的常用命令,以及在该系统下项目的部署；7、熟悉常见设计模式，有良好的设计思想和可以熟练使用Rose或Viso等UML工具；8、有良好的沟通、理解能力，有良好的团队合作精神。逻辑思维能力强，能够独立思考，能够承受一定程度的压力。&&"
Java开发工程师,上海,zilliz技术部招聘,15k-30k,全职,本科及以上,经验3-5年,服务器端;高性能;软件开发;大数据;C++;Java;,上海赜睿信息科技有限公司,"企业服务,数据服务",A轮,多家一线投资机构(A轮),http://www.zilliz.cn,"丰厚期权,行业高薪,前沿技术,精英团队",岗位描述：&&高性能JAVA服务器端程序的设计、开发和测试&&岗位要求：&&计算机相关专业本科及以上学历；&&有3年以上Java开发经验，对Java反射机制有深入了解，熟悉设计模式和面向对象开发；&&熟悉Guava、apache-commons等库的使用，熟悉各类算法和数据结构；&&熟悉MacOS、Unix/Linux操作系统以及跨平台编程；&&会使用git进行代码协同管理；&&具备良好的文档编写能力；&&有较强的独立解决问题能力、学习能力、以及沟通能力。&&具备以下经历者优先：&&985或211；&&参与过人工智能平台或大数据系统开发；&&在github上发表项目；&&在技术博客或者论坛中发表文章。&&
Java工程师,北京,拉勾网拉勾云招聘,15k-30k,全职,本科及以上,经验3-5年,高级;后端开发;Java;平台/后台;分布式;电商;,北京拉勾网络技术有限公司,"企业服务,招聘",D轮及以上,"东方弘道(C轮,天使轮)，真格基金(天使轮)，贝塔斯曼(A轮)，启明创投，贝塔斯曼(B轮)，前程无忧(D轮及以上)",http://www.lagou.com,快速发展的业务和足够的技术挑战,岗位职责：&&拉勾云系统设计、开发&&解决线上系统问题，完成部分模块重构&&我们希望你：&&人靠谱，责任心强，有自信&&有技术中长期的规划能力&&有产品意识，能技术侧输出观点，关注产品效果。&&充满好奇心，享受coding，学习能力强，有代码洁癖&&技术全面，对技术有热情，在某个技术领域有自己的见解，关注技术发展方向&&技术上：&&数据结构/算法基础扎实&&JAVA基础扎实，精通io、多线程、集合等基础框架，熟悉jvm&&熟悉Mysql，有数据库设计经验，做过SQL Tuning&&具有出色的抽象设计能力，能独立分析和解决问题&&灵活设计原则，和设计模式。&&技术栈：Spring、Mybatis、Mysql、Redis、ES、Kafka&&必备：经得起推敲的技术项目&&加分项：&&电商、SaaS产品研发经验&&
Java,上海,泛微招聘,12k-18k,全职,本科及以上,经验1-3年,Java;,上海泛微网络科技股份有限公司,"移动互联网,企业服务",上市公司,2000人以上,http://www.weaver.com.cn,美味三餐 一年两次加薪 每月拿绩效奖金,岗位职责：&&1、组织并参与电子签章产品的开发设计工作；&&2、能根据要求，带领团队完成产品的设计与开发，解决技术难题&&任职要求：&&1.本科以上学历，计算机软件相关专业，2年以上电子印章、电子签章产品研发、自定义文件格式开发相关经验；&&2.熟悉PKI/CA技术体系，熟悉电子签章技术架构；&&3.熟悉加密解密技术，包括但不限于aes、rsa，了解java安全体系；&&4.精通Java/JavaScript/PLSQL/XML/JS，熟练使用Struts/Spring/Hibernate/Ibatis等常见开源框和MVC三层架构开发模式；&&
JAVA开发工程师,南京,苏宁云商广告研发中心招聘,10k-20k,全职,本科及以上,经验5-10年,Java;架构;,南京苏宁软件技术有限公司,"O2O,移动互联网",上市公司,2000人以上,http://www.suning.com,技术氛围好，发展潜力大,岗位职责：&&1.开发广告平台相关产品，独立完成重要功能和模块的详细设计和编码的任务，确保项目的进度和质量；&&2.在团队中完成相互间的Code Review任务，确保相关代码的有效性和正确性，通过Code Review提供相关性能以及安全的建议；&&3.维护和升级现有软件产品和系统，快速定位并修复现有软件缺陷。&&岗位要求：&&1. 计算机或相关专业本科以上学历，5年以上工作经验；&&2. 熟悉JAVA基础以及现流行JAVA WEB应用主流开发框架，对其有较深入理解；&&3. 熟练使用DB2、ORACLE、MYSQL等其中一种数据库，在数据库性能优化方面有很深理解，且有实际项目经验；&&4. 熟悉各种WEB前端技术，包括Javascript、css、Ajax、JQuery等；&&5. 熟练使用Tomcat或Jboss等应用服务器；&&6. 了解Android或IOS开发技术，有相关开发经验者优先；&&7. 具备良好的沟通能力和团队协作能力，有责任心，具有较抗压能力&&
Java开发工程师,上海,链家上海研发中心招聘,15k-24k,全职,本科及以上,经验3-5年,Java;,德佑房地产经纪有限公司,企业服务,B轮,华兴资本(华晟)，百度、腾讯、中信产业基金(B轮)，万科(D轮及以上),http://sh.lianjia.com/,万亿级O2O平台 一年两次调薪 季度奖金,岗位职责：1.系统软件的系统设计与开发；2.一些自动化工具软件的开发；3.参与一些基础技术框架的讨论。任职要求：1.本科以上学历，计算机专业背景；2.熟悉Java，熟悉常用的开源框架，例如Spring MVC/Spring/myBatis；3.有一定的数据库基础，熟悉SQL Server，能设计数据库；4.热爱折腾/勇于折腾/善于折腾，敢想敢干；5.有独立分析问题和解决问题的能力；6.具备强烈的工作责任心和主动性；7.有较强的学习动力和自我提升欲望。&&
Java工程师,北京,桔子分期技术研发中心招聘,15k-30k,全职,本科及以上,经验3-5年,高级;中级;Java;MySQL;金融;支付;,北京桔子分期电子商务有限公司,"电子商务,金融",A轮,150-500人,http://www.juzifenqi.com,"平台广阔,福利丰厚","岗位职责：1.参与系统设计与研发。2.很好的编程功底，注重代码质量。根据开发规范与流程独立完成模块的设计和编码；3.确保项目目标的实现，保证项目准确、优质地完成全部任务；4.能够承受一定压力，能够以很好的状态进行技术实现。&&任职要求：1.计算机或相关专业本科以上学历，3年及以上java平台开发经验；2.熟悉JAVA相关编程，熟悉SpringMVC,MyBatis等技术；3.熟悉大流量、高并发、高负载、高可用性的分布式系统的设计开发；4.熟悉mysql数据库开发，有较强的sql编写能力；5.思维逻辑能力强，善沟通，学习能力强&&"
